wui_type,year,percent
interface,1990,0.03614241166019429
intermix,1990,0.13224009041806406
interface,2000,0.04472205592106495
intermix,2000,0.15245036018700556
interface,2010,0.04783638100416941
intermix,2010,0.16973866512261296
interface,2020,0.04828947822317203
intermix,2020,0.1691619762692422
