area,wui_type,year,percent
2521762.231354321,interface,1990,0.03614241166019298
2521762.231354321,intermix,1990,0.13224009041806625
2521762.231354321,interface,2000,0.044722055921064256
2521762.231354321,intermix,2000,0.15245036018700855
2521762.231354321,interface,2010,0.0478363810041685
2521762.231354321,intermix,2010,0.16973866512261807
2521762.231354321,interface,2020,0.04828947822317128
2521762.231354321,intermix,2020,0.1691619762692451
